fetched_at,search_query,search_center_latitude,search_center_longitude,place_id,added,name,primary_type,primary_type_label,types,formatted_address,latitude,longitude,national_phone,international_phone,rating,user_rating_count,price_level,business_status,open_now,weekday_hours,website,google_maps_uri,plus_code
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJeTAtsOedUkYRAXFlVOqqp_g,2026-04-19T00:00:00+00:00,Bruuns Chokolade,chocolate_shop,Chokoladebutik,chocolate_shop | ice_cream_shop | candy_store | coffee_shop | dessert_shop | confectionery | food_store | cafe | store | point_of_interest | food | establishment,"Storgade 20, 4180 Sorø",55.4323741,11.556289099999999,60 55 40 65,+45 60 55 40 65,4.5,21,,OPERATIONAL,false,mandag: 11.00–17.30; tirsdag: 11.00–17.30; onsdag: 11.00–17.30; torsdag: 11.00–17.30; fredag: 11.00–17.30; lørdag: 10.00–16.00; søndag: 10.00–16.00,https://bruunschokolade.dk/,https://maps.google.com/?cid=17917477565931811073&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+WG
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJX11Z_oecUkYRZKujOy-hC_A,2026-04-19T00:00:00+00:00,Sejers Konditori Sorø,pastry_shop,Bageri,pastry_shop | ice_cream_shop | dessert_shop | cake_shop | bakery | confectionery | food_store | cafe | wholesaler | restaurant | store | manufacturer | point_of_interest | food | establishment,"Storgade 22, 4180 Sorø",55.4324805,11.556660899999999,57 83 22 42,+45 57 83 22 42,4.3,162,PRICE_LEVEL_EXPENSIVE,OPERATIONAL,true,mandag: 05.30–17.30; tirsdag: 05.30–17.30; onsdag: 05.30–17.30; torsdag: 05.30–17.30; fredag: 05.30–17.30; lørdag: 05.30–16.00; søndag: 05.30–16.00,https://sejers-konditori.dk/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://maps.google.com/?cid=17297096018082638692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+XM
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJLxmZKIicUkYRvenAVKLVqUk,2026-04-19T00:00:00+00:00,Juice Club,restaurant,Restaurant,restaurant | sandwich_shop | coffee_shop | food_store | cafe | store | point_of_interest | food | establishment,"Holberg Arkaden 10, 4180 Sorø",55.4328804,11.5577173,88 97 70 73,+45 88 97 70 73,4,183,PRICE_LEVEL_MODERATE,OPERATIONAL,true,mandag: 09.30–18.00; tirsdag: 09.30–18.00; onsdag: 09.30–18.00; torsdag: 09.30–18.00; fredag: 09.30–19.00; lørdag: 10.00–15.00; søndag: 11.00–15.00,http://juiceclub.dk/index.php/menu/,https://maps.google.com/?cid=5308008529016187325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM5+53
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJ5dgWSYSdUkYR5Jkj9hIoYR4,2026-04-19T00:00:00+00:00,Lokalristeriet Sorø,coffee_roastery,Kafferistningsvirksomheder,coffee_roastery | coffee_shop | food_store | cafe | store | point_of_interest | food | establishment,"baghuset Storgade 21 Indgang fra, Vestergade, 4180 Sorø",55.4339641,11.5565082,52 61 87 04,+45 52 61 87 04,4.7,85,,OPERATIONAL,true,mandag: 09.00–17.00; tirsdag: 09.00–17.00; onsdag: 09.00–17.00; torsdag: 09.00–17.00; fredag: 09.00–17.00; lørdag: 09.00–16.00; søndag: 09.30–16.00,https://danskfirmaguide.top/business/lokalristeriet-sor-VIR50DU87,https://maps.google.com/?cid=2189074955782822372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+HJ
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJfVEbPr2dUkYRNl8WxFgGIhc,2026-04-19T00:00:00+00:00,Kaffe&mere,coffee_shop,Kaffebar,coffee_shop | food_store | cafe | store | point_of_interest | food | establishment,"Storgade 27, 4180 Sorø",55.4342538,11.557148399999999,51 28 46 47,+45 51 28 46 47,4.5,2,,OPERATIONAL,true,mandag: 09.00–17.00; tirsdag: 09.00–17.00; onsdag: 09.00–17.00; torsdag: 09.00–17.00; fredag: 09.00–17.00; lørdag: 09.00–14.00; søndag: Lukket,,https://maps.google.com/?cid=1666901790397194038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+PV
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJg6vkzXecUkYRktHj20redkg,2026-04-19T00:00:00+00:00,Skotte og Stentoft,cafe,Café,cafe | coffee_shop | food_store | store | point_of_interest | food | establishment,"Stationspladsen 2b, 4180 Sorø",55.4192755,11.5693804,22 85 42 28,+45 22 85 42 28,4.4,187,PRICE_LEVEL_MODERATE,OPERATIONAL,true,mandag: 07.00–16.00; tirsdag: 07.00–16.00; onsdag: 07.00–16.00; torsdag: 07.00–16.00; fredag: 07.00–16.00; lørdag: 09.00–15.00; søndag: Lukket,https://skottestentoft.dk/,https://maps.google.com/?cid=5221605231080755602&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCH99+PQ
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJQcQCcnacUkYRnMjRB5RlEdA,2026-04-19T00:00:00+00:00,Cafe og Butik Vesthhuset,cafe,Café,cafe | point_of_interest | food | establishment,"Frederiksbergvej 22, 4180 Sorø",55.4170346,11.5669116,20 21 02 32,+45 20 21 02 32,4.7,111,PRICE_LEVEL_MODERATE,OPERATIONAL,false,mandag: Lukket; tirsdag: Lukket; onsdag: Lukket; torsdag: Lukket; fredag: 15.00–18.00; lørdag: Lukket; søndag: 13.00–17.00,http://www.vesthhuset.dk/,https://maps.google.com/?cid=14992876320953845916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCH88+RQ
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJh2KQoc59TUYR_oi92Rk3VMg,2026-04-19T00:00:00+00:00,Circle K Bilvask,car_wash,Bilvask,car_wash | coffee_shop | food_store | cafe | restaurant | store | service | point_of_interest | food | establishment,"Karsholtevej 35A, 4293 Dianalund",55.5331536,11.4873399,70 10 11 01,+45 70 10 11 01,5,2,,OPERATIONAL,true,mandag: 05.00–22.00; tirsdag: 05.00–22.00; onsdag: 05.00–22.00; torsdag: 05.00–22.00; fredag: 05.00–22.00; lørdag: 07.00–22.00; søndag: 07.00–22.00,https://www.circlek.dk/station/circle-k-dianalund?utm_source=google&utm_medium=local&utm_campaign=google-local,https://maps.google.com/?cid=14435223289796069630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HGFMP+7W
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJS68zIH1hTUYRgjKcWKDSuJQ,2026-04-19T00:00:00+00:00,Espresso House,coffee_shop,Kaffebar,coffee_shop | food_store | cafe | store | point_of_interest | food | establishment,"Vestsjællandscentret 10A, 4200 Slagelse",55.405948099999996,11.3547403,51 63 69 51,+45 51 63 69 51,4.1,150,PRICE_LEVEL_MODERATE,OPERATIONAL,true,mandag: 08.00–19.00; tirsdag: 08.00–19.00; onsdag: 08.00–19.00; torsdag: 08.00–19.00; fredag: 08.00–19.00; lørdag: 09.00–18.00; søndag: 09.00–18.00,https://dk.espressohouse.com/,https://maps.google.com/?cid=10716546899451327106&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HC943+9V
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJN2tIxWyRUkYRPXvME_cvZGg,2026-04-19T00:00:00+00:00,Espresso House DK,coffee_shop,Kaffebar,coffee_shop | food_store | cafe | store | point_of_interest | food | establishment,"Klosterparks Allé 41-43, Butik 19, 4100 Ringsted",55.4510388,11.7855895,51 63 63 63,+45 51 63 63 63,4,259,PRICE_LEVEL_MODERATE,OPERATIONAL,true,mandag: 09.30–19.00; tirsdag: 09.30–19.00; onsdag: 09.30–19.00; torsdag: 09.30–19.00; fredag: 09.30–19.00; lørdag: 09.30–19.00; søndag: 09.30–19.00,https://dk.espressohouse.com/,https://maps.google.com/?cid=7522190015851166525&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HFQ2P+C6
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJRYP1ZxMbdkgRMfjW6O_Wk5Q,2026-04-19T00:00:00+00:00,BusinessesForSale.com,service,Tjenester,service | point_of_interest | establishment,"Dynamis, House 6, 8 Sycamore St, Barbican, London EC1Y 0SW, Storbritannien",51.5227553,-0.0979858,020 7324 1930,+44 20 7324 1930,4.5,48,,OPERATIONAL,false,mandag: 09.30–17.30; tirsdag: 09.30–17.30; onsdag: 09.30–17.30; torsdag: 09.30–17.30; fredag: 09.30–17.30; lørdag: Lukket; søndag: Lukket,https://uk.businessesforsale.com/?utm_source=gmb&utm_medium=organic&utm_campaign=local,https://maps.google.com/?cid=10706137065081731121&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9C3XGWF2+4R
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJ1c1sVkGdUkYRb59D80HhmLc,2026-04-20T20:05:31.759720+00:00,"Klostergrill, Sorø",restaurant,Restaurant,hamburger_restaurant | hot_dog_stand | danish_restaurant | meal_takeaway | american_restaurant | restaurant | food | point_of_interest | establishment,"Torvet 10, 4180 Sorø",55.431872299999995,11.5555766,41 44 46 66,+45 41 44 46 66,4.6,74,,OPERATIONAL,false,mandag: 11.00–19.00; tirsdag: 11.00–19.00; onsdag: 11.00–19.00; torsdag: 11.00–19.00; fredag: 11.00–19.00; lørdag: 11.00–19.00; søndag: 11.00–19.00,https://www.klostergrill.dk/,https://maps.google.com/?cid=13229571578771251055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+P6
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJq7Mx_GKcUkYRujOkNpw8Kq0,2026-04-20T20:05:31.759720+00:00,Café & Ristorante Valencia,restaurant,Restaurant,restaurant | tapas_restaurant | brunch_restaurant | meal_takeaway | cafe | food | point_of_interest | establishment,"Storgade 6A, 4180 Sorø",55.4315983,11.5559842,31 88 98 89,+45 31 88 98 89,4,533,PRICE_LEVEL_MODERATE,OPERATIONAL,false,mandag: 11.00–21.00; tirsdag: 11.00–21.00; onsdag: 11.00–21.00; torsdag: 11.00–21.00; fredag: 11.00–21.30; lørdag: 11.00–21.30; søndag: 12.00–21.00,https://valencia.dk/,https://maps.google.com/?cid=12477852359212676026&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+J9
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJuxfyAmOcUkYRlNoT8VQzUR4,2026-04-20T20:05:31.759720+00:00,Cafe Au Lait,restaurant,Restaurant,restaurant | food | point_of_interest | establishment,"Storgade 2, 4180 Sorø",55.4314167,11.5559333,57 83 53 60,+45 57 83 53 60,4.3,94,PRICE_LEVEL_INEXPENSIVE,OPERATIONAL,false,mandag: 11.00–21.00; tirsdag: 11.00–21.00; onsdag: 11.00–21.00; torsdag: 10.00–21.00; fredag: 10.00–21.00; lørdag: 11.00–21.00; søndag: 11.00–21.00,https://cafeaulait4180.dk/,https://maps.google.com/?cid=2184583734166280852&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+H9
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJ_7SOmLCdUkYRvBwXQKX__ZU,2026-04-20T20:05:31.759720+00:00,MaskerMedMere,store,Butik,restaurant | food | store | point_of_interest | establishment,"Storgade 18a, 4180 Sorø",55.4323156,11.556230800000002,29 88 08 89,+45 29 88 08 89,4.2,5,,OPERATIONAL,false,mandag: Lukket; tirsdag: Lukket; onsdag: Lukket; torsdag: 14.00–18.00; fredag: 12.00–18.00; lørdag: 10.00–14.00; søndag: Lukket,https://maskermedmere.dk/,https://maps.google.com/?cid=10808075765969001660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHJ4+WF
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJqSqCjWKcUkYRHiDKxLM7n8E,2026-04-20T20:05:31.759720+00:00,Cafe Krabasken,restaurant,Restaurant,restaurant | hamburger_restaurant | pizza_restaurant | pizza_delivery | meal_delivery | food_delivery | meal_takeaway | american_restaurant | cafe | food | point_of_interest | establishment,"Holberg Arkaden 1, 4180 Sorø",55.432950999999996,11.556899,57 83 06 60,+45 57 83 06 60,4.1,502,PRICE_LEVEL_MODERATE,OPERATIONAL,false,mandag: 11.00–21.00; tirsdag: 11.00–21.00; onsdag: 11.00–21.00; torsdag: 11.00–21.00; fredag: 11.00–21.00; lørdag: 11.00–21.00; søndag: 11.00–21.00,https://cafe-krabasken.dk/,https://maps.google.com/?cid=13951935813903851550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+5Q
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJi6TXV8KdUkYRb0ApzQ2ezrA,2026-04-20T20:05:31.759720+00:00,The Burger,meal_takeaway,Restaurant med takeaway,meal_takeaway | hamburger_restaurant | american_restaurant | restaurant | food | point_of_interest | establishment,"Storgade 15, 4180 Sorø",55.433136399999995,11.5563863,57 80 00 20,+45 57 80 00 20,4.5,197,PRICE_LEVEL_MODERATE,OPERATIONAL,false,mandag: 11.00–21.00; tirsdag: 11.00–21.00; onsdag: 11.00–21.00; torsdag: 11.00–21.00; fredag: 11.00–21.00; lørdag: 11.00–21.00; søndag: 11.00–21.00,https://theburger.mealo.dk/,https://maps.google.com/?cid=12740294177991508079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+7H
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJywtYhGKcUkYRZcO3vLTviTc,2026-04-20T20:05:31.759720+00:00,Cafe Luccas,pizza_restaurant,Pizzeria,pizza_restaurant | restaurant | food | point_of_interest | establishment,"Storgade 38, 4180 Sorø",55.4337048,11.5571364,57 83 44 66,+45 57 83 44 66,4.2,411,PRICE_LEVEL_MODERATE,OPERATIONAL,false,mandag: 11.00–22.00; tirsdag: 11.00–22.00; onsdag: 11.00–22.00; torsdag: 11.00–22.00; fredag: 11.00–22.00; lørdag: 11.00–22.00; søndag: 11.00–22.00,https://www.cafe-luccas.dk/,https://maps.google.com/?cid=4001993303434707813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+FV
2026-04-20T20:05:31.759759+00:00,restaurant,55.4318,11.5555,ChIJofMfg2KcUkYR9KfdtCWq-QM,2026-04-20T20:05:31.759720+00:00,Tokyo Sushi,meal_takeaway,Restaurant med takeaway,meal_takeaway | restaurant | food | point_of_interest | establishment,"Storgade 44, 4180 Sorø",55.433955,11.55724,28 59 83 88,+45 28 59 83 88,4,109,,OPERATIONAL,false,mandag: 11.00–21.00; tirsdag: 11.00–20.30; onsdag: 11.00–20.30; torsdag: 11.00–20.30; fredag: 11.00–20.30; lørdag: 11.00–20.30; søndag: 15.00–20.30,https://tokyotogo.dk/,https://maps.google.com/?cid=286447130239674356&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,9F7HCHM4+HV
